Número de proyecto,Clave del programa,Fondo,Clave de la entidad federativa,Entidad Federativa,Clave del municipio,Nombre del municipio,Nombre del proyecto,Monto aprobado,Pagado,
3203,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,22,TETELA DEL VOLCÁN,CONSTRUCCION DE TECHUMBRE EN LA ESCUELA PRIMARIA 16 DE SEPTIEMBRE,"1,399,999.91","692,299.95",
3204,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,22,TETELA DEL VOLCÁN,CONSTRUCCION DE DRENAJE SANITARIO EN BARRANCA EN TETELA DEL VOLCAN,"1,350,459.09","667,802.02",
3205,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,22,TETELA DEL VOLCÁN,REHABILITACION DE LA ESCUELA PRIMARIA 20 DE NOVIEMBRE ,"2,495,740.00","1,234,143.43",
3206,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,3,AXOCHIAPAN,"PAVIMENTACION DE CONCRETO HIDRAULICO EN LA CALLE PLAZA DE LA REFORMA, COL. QUEBRANTADERO","1,000,000.00","494,500.00",
3207,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,32,ZACUALPAN DE AMILPAS,"CONSTRUCCION DE MODULO DE BAÑOS EN JARDIN DE NIÑOS GABILONDO SOLER, ZACUALPAN, MORELOS. CLAVE ESCOLAR 17DJN0008Z","1,093,769.65","540,869.09",
3208,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,32,ZACUALPAN DE AMILPAS,"CONSTRUCCION DE TECHUMBRE EN LA CANCHA DE USOS MULTIPLES EN ESCUELA PRIMARIA SOR JUANA INES DE LA CRUZ, TLACOTEPEC, ZACUALPAN DE AMILPAS, MORELOS","2,516,048.27","1,244,185.87",
3209,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,32,ZACUALPAN DE AMILPAS,"CONSTRUCCION DE TECHUMBRE EN LA CANCHA DE USOS MULTIPLES EN EL COLEGIO DE BACHILLERES No. 06, TLACOTEPEC, ZACUALPAN DE AMILPAS, MORELOS.","3,147,040.08","1,556,211.32",
3210,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,2,ATLATLAHUCAN,INTRODUCCION DE DRENAJE EN LA COLONIA POZO MANCERA,"2,000,000.00","989,000.00",
3211,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,6,CUAUTLA,"ELECTRIFICACIONES VARIAS CALLES EN CUAUTLA, MORELOS","9,000,000.00","4,450,500.00",
3212,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,6,CUAUTLA,"CONSTRUCCIÓN DE TECHUMBRE EN EL JARDÍN DE NIÑOS ABEJITAS EN LA COL. GALEANA, CUAUTLA","1,000,000.00","494,500.00",
3213,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,6,CUAUTLA,CONSTRUCCIÓN DE EDIFICIO NO. 3 DE LA PREPARATORIA CUAUTLA,"8,000,000.00","3,956,000.00",
3214,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,25,TLAQUILTENANGO,"CONSTRUCCIÓN DE TECHUMBRE EN PLAZA CÍVICA, TLAQUILTENANGO","2,000,000.00","989,000.00",
3215,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,17,PUENTE DE IXTLA,CONSTRUCCIÓN DE TECHUMBRE METÁLICA EN LA AYUDANTÍA MUNICIPAL DE LA LOCALIDAD DE LA TIGRA,"963,553.00","476,476.96",
3216,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,17,PUENTE DE IXTLA,"CONSTRUCCIÓN DE TECHUMBRE METÁLICA EN PLAZA CÍVICA DE LA AYUDANTÍA DE LA LOCALIDAD DE EL ESTUDIANTE, PUENTE DE IXTLA","1,123,046.00","555,346.24",
3217,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,20,TEPOZTLÁN,"CONSTRUCCIÓN DE LA CASA DE LA CULTURA Y LA SALUD EN TEPOZTLÁN, MORELOS","2,000,000.00","989,000.00",
3218,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,17,PUENTE DE IXTLA,"CONSTRUCCIÓN DE AULA DE USOS MÚLTIPLES DE 74.91 M2  EN LA ESCUELA PRIMARIA JESÚS GARCÍA CORONA, PUENTE DE IXTLA","432,260.00","213,752.57",
3219,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,17,PUENTE DE IXTLA,"CONSTRUCCIÓN DE AULA DE MEDIOS DE 86.32 M2 EN LA ESCUELA SECUNDARIA TÉCNICA NO. 11, PUENTE DE IXTLA","1,007,413.00","498,165.73",
3220,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,17,PUENTE DE IXTLA,"CONSTRUCCIÓN DE COCINA EN ESCUELA PRIMARIA VICENTE SUAREZ, PUENTE DE IXTLA","473,728.00","234,258.50",
3221,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,28,XOCHITEPEC,"UNIDAD DEPORTIVA ""LA GRAN FUERZA DE MÉXICO"" EN ALPUYECA MORELOS ","3,000,000.00","1,483,500.00",
3222,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,28,XOCHITEPEC,"CONSTRUCCIÓN DE 2 AULAS EN PLANTA ALTA EN ESCUELA PRIMARIA ""IGNACIO MAYA""","1,044,000.00","516,258.00",
3223,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,28,XOCHITEPEC,REHABILITACIÓN DE RED DE AGUA POTABLE EN CALLE PERÚ,"371,185.00","183,550.99",
3224,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,28,XOCHITEPEC,"PANTEÓN DE"" LA PAZ"" 1RA ETAPA","2,584,815.00","1,278,191.02",
3225,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,28,XOCHITEPEC,"CONSTRUCCIÓN DE ANDADOR ECOLÓGICO Y CICLOPISTA ""MARIANO MATAMOROS""","3,000,000.00","1,483,500.00",
3226,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN OTILIO MONTAÑO,"853,876.00","422,241.68",
3227,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,"CONSTRUCCIÓN DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN VILLAS DEL DESCANSO
","1,436,892.00","710,543.10",
3228,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN ARCOS DE JIUTEPEC,"2,189,268.00","1,082,593.03",
3229,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN LOMAS DE JIUTEPEC,"453,258.00","224,136.08",
3230,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,"CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN SAN FRANCISCO TEXCALPAN
","1,254,494.00","620,347.29",
3231,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,PROGRAMA DE BACHEO DE LA RED CARRETERA MUNICIPAL DE JIUTEPEC ,"3,185,000.00","1,574,982.50",
3232,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN PARRES,"1,436,892.00","710,543.10",
3233,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN CIVAC,"1,852,497.00","916,059.77",
3234,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN U.H. POCHOTAL,"853,876.00","422,241.68",
3235,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,"CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN CIVAC 30 NORTE, 8 ESTE","720,337.00","356,206.65",
3236,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,"CONSTRUCCIÓN DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN CALERA CHICA
","586,798.00","290,171.61",
3237,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE FOVISSSTE - IMURI,"720,337.00","356,206.65",
3238,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EL CASTILLO (REAL LOS COLORINES),"720,337.00","356,206.65",
3239,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,"CONSTRUCCION DE CENTRO DE SALUD ""ATLACOMULCO"" EN LA COL. ATLACOMULCO","3,480,000.00","1,720,860.00",
3240,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,PAVIMENTACION CON CONCRETO HIDRAULICO CALLE MIGUEL HIDALGO  ,"1,268,453.00","627,250.01",
3241,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,PAVIMENTACION CON CONCRETO HIDRAULICO EN CALLE AGUA FRIA PRINCIPAL ,"3,642,329.00","1,801,131.69",
3242,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC," CANCHA DE USOS MULTIPLES CON TECHUMBRE, AREA DE JUEGOS INFANTILES Y GIMNASIO AL AIRE LIBRE, LAS PALOMAS CIVAC.
","1,956,000.00","967,242.00",
3243,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCIÓN DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN HACIENDA DE LAS FLORES,"720,337.00","356,206.65",
3244,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN MOCTEZUMA,"987,415.00","488,276.72",
3245,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN PEDREGAL DE LAS FUENTES ,"586,798.00","290,171.61",
3246,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN LA INDEPENDENCIA,"586,798.00","290,171.61",
3247,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN COL. CAMPO MORADO,"386,489.00","191,118.81",
3248,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,11,JIUTEPEC,CONSTRUCCION DE PARQUE RECREATIVO Y GIMNASIO AL AIRE LIBRE EN JARDIN JUAREZ,"1,971,519.00","974,916.15",
3249,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,19,TEPALCINGO,REMODELACION DEL KIOSKO Y PORTALES DEL CENTRO DE ATOTONILCO,"1,000,000.00","494,500.00",
3250,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,21,TETECALA,REMODELACION DE UNIDAD DEPORTIVA,"1,000,000.00","494,500.00",
3251,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,17,MORELOS,7,CUERNAVACA,CONSTRUCCION DE CICLOVIA TEOPANZOLCO,"5,000,000.00","2,472,500.00",
3252,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,17,TEPIC,"REHABILITACION Y REMODELACION DE LA UNIDAD DEPORTIVA SANTA TERESITA  DEL MUNICIPIO DE TEPIC, NAYARIT.","9,700,000.00","4,796,650.00",
3253,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,12,SAN BLAS,"CONSTRUCCION DE PLAZA MUELLE DE SAN BLAS, EN MATANCHEN, MUNICIPIO DE SAN BLAS, NAYARIT.","8,100,000.00","4,005,450.00",
3254,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,7,JALA,"CONSTRUCCIÓN DE CENTRO DE DESARROLLO COMUNITARIO EN LA LOCALIDAD DE JALPA GRANDE, MUNICIPIO DE JALA, NAYARIT.","5,000,000.00","2,472,500.00",
3255,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,8,XALISCO,"PAVIMENTACIÓN DE CALLE EMILIANO ZAPATA DESDE LA CARRETERA FEDERAL NO. 200 A CALLE LÁZARO CÁRDENAS; CALLE LÁZARO CÁRDENAS, DESDE LA CALLE EMILIANO ZAPATA HASTA LA CALLE VALENTE GARCÍA; Y CALLE VALENTE GARCÍA, DESDE LA CALLE LÁZARO CÁRDENAS A LA CARRETERA FEDERAL NO. 200, EN LA LOCALIDAD DE EMILIANO ZAPATA (MAJADAS), MUNICIPIO DE XALISCO, NAYARIT.","7,000,000.00","3,461,500.00",
3256,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,16,TECUALA,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO DE CALLES: INSURGENTES DE CALLE 13 DE JUNIO A MÉXICO; MÉXICO DE INSURGENTES A LÁZARO CÁRDENAS; LÁZARO CÁRDENAS DE MÉXICO A INDEPENDENCIA E INDEPENDENCIA DE LÁZARO CÁRDENAS A INSURGENTES, EN LA LOCALIDAD DE MILPAS VIEJAS, MUNICIPIO DE TECUALA, NAYARIT .","8,500,000.00","4,203,250.00",
3257,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,17,TEPIC,"REHABILITACIÓN DE CALLE VIOLETA ENTRE LA CALLE JAZMINES Y LA CALLE AZUCENA EN LA COLONIA  JACARANDAS, EN TEPIC, NAYARIT.","8,600,000.00","4,252,700.00",
3258,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,17,TEPIC,"CONSTRUCCIÓN DE SKATE - PARK EN CIUDAD DE LAS ARTES, TEPIC, NAYARIT.","2,300,000.00","1,137,350.00",
3259,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,15,SANTIAGO IXCUINTLA,"MODERNIZACIÓN DE CAMINO DE ACCESO A LA LOCALIDAD DE EL  BOTADERO, MUNICIPIO DE SANTIAGO IXCUINTLA, NAYARIT.","7,300,000.00","3,609,850.00",
3260,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,13,SAN PEDRO LAGUNILLAS,"REHABILITACIÓN DE LA PLAZA DE LOS MÁRTIRES Y CANCHA DE USOS MULTIPLES CON CONSTRUCCIÓN DE DOMO CÍVICO EN SAN PEDRO LAGUNILLAS, NAYARIT
","3,500,000.00","1,730,750.00",
3261,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,17,TEPIC,"CONSTRUCCION DE ADOQUIN EN TRAMO I: CALLE 8 DE FEBRERO ENTRE CAMILO TORRES Y GENARO VAZQUEZ, TRAMO II: 1º DE MAYO ENTRE FRANCISCO VILLA Y CAMILO TORRES, TRAMO III: PAVIMENTO HIDRAULICO EN CAMILO TORRES ENTRE 8 DE FEBRERO Y FFCC. COL. 2 DE AGOSTO, TEPIC NAYARIT","6,200,000.00","3,065,900.00",
3262,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,17,TEPIC,"CONSTRUCCION DE PAVIMENTO HIDRAULICO EN, TRAMO 1: PRIETO CRISPIN ENTRE CHE GUEVARA Y 20 DE FEBRERO, TRAMO 2: 20 DE FEBRERO DESDE LUCIO CABAÑAS HASTA PROLONGACION EGIPTO, TRAMO 3: PUEBLO EN LUCHA DESDE 20 DE FEBRERO HASTA IDEALES DE JUSTICIA COL. 2 DE AGOSTO TEPIC, NAYARIT.","6,000,000.00","2,967,000.00",
3263,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,12,SAN BLAS,PAVIMENTACION CON CONCRETO HIDRAULICO DE LA CALLE JOSE MARIA MERCADO,"5,000,000.00","2,472,500.00",
3264,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,6,IXTLÁN DEL RÍO,"CONSTRUCCION DE TECHUMBRE EN ESCUELA SECUNDARIA TECNICA EULOGIO PARRA EN LA LOCALIDAD DE IXTLAN DEL RIO, NAYARIT ","1,000,000.00","494,500.00",
3265,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,6,IXTLÁN DEL RÍO,CONSTRUCCION DE CANCHA DE USOS MULTIPLES CON TECHUMBRE EN LA ESCUELA PRIMARIA RAMON CORONA DE LA LOCALIDAD DE IXTLAN DEL RIO.,"1,800,000.00","890,100.00",
3266,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,PAVIMENTO  EMPEDRADO AHOGADO EN CEMENTO PARA LA CALLE TEPIC                                                                                                                  ,"725,030.42","358,527.54",
3267,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,PAVIMENTO EMPEDRADO AHOGADO EN CEMENTO PARA LA CALLE CUAUHTÉMOC  ,"808,755.09","399,929.39",
3268,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,"PAVIMENTO A BASE DE REENCARPETADO ASFALTICO, PARA LA CALLE DE INGRESO EN LA CABECERA MUNICIPAL","667,079.24","329,870.68",
3269,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,PAVIMENTO EMPEDRADO AHOGADO EN CEMENTO CALLE ALLENDE ,"477,826.81","236,285.35",
3270,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,PAVIMENTACIÓN DE EMPEDRADO AHOGADO EN CEMENTO PARA LA  CALLE CONSTITUCIÓN,"798,430.77","394,824.02",
3271,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,PAVIMENTO A BASE A DE REENCARPETADO ASFALTICO PARA LA CALLE JUAN BERNAL   ,"1,165,974.89","576,574.59",
3272,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,3,AMATLÁN DE CAÑAS,"PAVIMENTO EMPEDRADO AHOGADO EN CEMENTO, PARA LA CALLE DE INGRESO AL ROSARIO","1,356,902.77","670,988.42",
3273,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,20,BAHÍA DE BANDERAS,CONSTRUCCIÓN EN PAVIMENTO CON CONCRETO HIDRÁULICO Y CONSTRUCCIÓN DE GUARNICIONES DE LA CALLE FRANCISCO VILLA Y ADRIÁN CUERVO EN EL MUNICIPIO DE BAHÍA DE BANDERAS EN EL ESTADO DE NAYARIT,"4,285,610.00","2,119,234.15",
3274,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,2,AHUACATLÁN,CONSTRUCCION DE EMPEDRADO AHOGADO Y CONCRETO HIDRAULICO EN VARIAS CALLES DEL MUNICIPIO ,"5,500,000.00","2,719,750.00",
3275,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,2,AHUACATLÁN,CONSTRUCCION DE EMPEDRADO AHOGADO EN VARIAS LOCALIDADES,"4,500,000.00","2,225,250.00",
3276,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,8,XALISCO,CONSTRUCCION DE PAVIMENTO ASFALTICO EN CALLE BENITO JUAREZ ENTRE CALLE VERACRUZ Y CALLE MAZATLAN,"1,500,000.00","741,750.00",
3277,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,8,XALISCO,CONSTRUCCIÓN DE PUENTE VEHICULAR EN ARROYO DEL INDIO Y CALLE MONTERREY,"3,000,000.00","1,483,500.00",
3278,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,18,NAYARIT,8,XALISCO,BACHEO EN CALLES DE LA ZONA CENTRO DE LA CABECERA MUNICIPAL DE XALISCO,"500,000.00","247,250.00",
3279,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,39,MONTERREY,REHABILITACION DE 7 CENTROS EDUCATIVOS EN EL POLIGONO 51 DE MONTERREY N.L.,"6,351,247.48","3,140,691.88",
3280,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,39,MONTERREY,REHABILITACIÓN DE 2 PLAZAS PUBLICAS EN EL POLIGONO 51 DE MONTERREY N.L.,"2,702,137.30","1,336,206.89",
3281,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,39,MONTERREY,REHABILITACION DE VIALIDADES EN EL POLIGONO 51 DE MONTERREY N.L.,"5,145,988.31","2,544,691.22",
3282,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,39,MONTERREY,REHABILITACION DE ALUMBRADO PUBLICO EN EL POLIGO 51 DE MONTERREY N.L.,"5,800,626.91","2,868,410.01",
3283,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,8,BUSTAMANTE," REHABILITACIÓN DE PAVIMENTOS EN CALLES HIDALGO, JUÁREZ, OCAMPO, ALDAMA, INDEPENDENCIA, MACARIO PÉREZ, MANUEL SERNA Y CELSO FLORES.","1,500,000.00","741,750.00",
3284,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,1,ABASOLO,CONSTRUCCIÓN DE UNIDAD DEPORTIVA EL MIRADOR,"2,000,000.00","989,000.00",
3285,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,33,LINARES,CONSTRUCCION DE CANCHA FUTBOL SOCCER CON PASTO SINTETICO EN UNIDAD DEPORTIVA IGNACIO ZARAGOZA,"9,269,642.36","4,583,838.15",
3286,U132,FONDO PARA EL FORTALECIMIENTO DE LA INFRAESTRUCTURA ESTATAL Y MUNICIPAL,19,NUEVO LEÓN,33,LINARES,INSTALACIONES ELÉCTRICAS EN UNIDAD DEPORTIVA IGNACIO ZARAGOZA,"730,357.63","361,161.85",
